爸爸开门，妈妈回家。我说：“我爱我的家。”|谁回家了？|妈妈。
水上有船，天上有飞机，路上有汽车。车轮转起来，车向前走。|哪种交通工具在水上？|船。
我和家人到火车站，拿好车票，按指引乘车。窗外有长长的铁路。|乘车前要拿好什么？|车票。
在安全的场地骑车，我先戴好头盔。大人帮我检查车铃和刹车。|骑车前大人检查什么？|车铃和刹车。
从入口进去，从出口出来。游玩结束，我们一起回到家。|游玩结束后去哪里？|回家。
地图上有东、西、南、北。妈妈指着远方，说那里是我们的家乡。|妈妈指的远方是哪里？|家乡。
商店就在近处。沿路直走，到树旁再转弯，就能看见。|走到哪里转弯？|树旁。
城市里的菜市场开门了。我和家人进店买菜，卖菜的人向我们问好。|一家人去市场做什么？|买菜。
超市货架上有水果。妈妈拿出零钱付款，我看见价签上的“元”。|价签上的“元”表示什么？|钱的单位，由家长结合价签解释。
街边有商铺和饭馆。餐厅的客人吃完饭，向店员道谢。|客人在哪里吃饭？|餐厅或饭馆。
邻居住在同一小区。我们一起进楼，到了各自住的楼层再见。|邻居们到了哪里才说再见？|各自住的楼层。
在医院，医生看了我的情况。药和针都由专业的大人安排，我不自己拿药吃。|小朋友能自己拿药吃吗？|不能，要由照顾者按医嘱安排。
警察帮助问路的人，消防员讲防火知识。我们认真听。|谁在讲防火知识？|消防员。
我和家人去邮局寄信，再到银行办事。信会送到远方的朋友手里。|信寄给谁？|远方的朋友。
旅行前，我把衣服放进箱子，把雨伞放进袋子，准备出门游玩。|雨伞放在哪里？|袋子里。
从城市到小镇，再到乡村，我们看见祖国不同地方的生活。|一路经过了哪些地方？|城市、小镇和乡村。
标志上写着“禁止入内”。我看懂提示，停下来，和大人换一条路。|看见标志后怎么做？|停下，和大人换路。
我们遵守规则，保护自己和同伴，一起平安回家。|遵守规则是为了什么？|保护自己和同伴，安全回家。
爷爷和奶奶看书，哥哥和姐姐收玩具，弟弟把球放回去。|弟弟做了什么？|把球放回去。
妹妹和叔叔打招呼，阿姨和伯伯也来了。亲人们坐在一起聊天。|大家坐在一起做什么？|聊天。
每个孩子都有自己的名字。儿童活动开始前，我找到写着我名字的字卡。|小朋友找到了什么？|写着自己名字的字卡。
我家有客厅、厨房和卧室。房间的墙上挂着一张画。|画挂在哪里？|墙上。
电视正在播放音乐，音响传来歌声。天热了，大人打开电风扇。|为什么打开风扇？|天热了。
厨房有锅、刀和叉，架上有瓶和罐。尖利的工具交给大人使用。|谁来使用尖利的工具？|大人。
大人切菜、炒菜、煮汤，又蒸了蛋、烤了饼。我在安全的地方等开饭。|小朋友在哪里等开饭？|安全的地方。
水果有甜味和酸味，苦瓜有点苦。辣椒辣，汤里加盐会有咸味。|什么食物有点苦？|苦瓜。
篮子里有苹果、梨和瓜，旁边放着红枣和草莓。我们洗好再吃。|水果要怎样处理再吃？|洗好再吃。
香蕉弯弯的，葡萄一串串，橙子圆圆的。我们把水果分给家人。|哪种水果是一串串的？|葡萄。
菜园里有萝卜和豆子，果园里有橘子。我把蔬菜和水果分开放好。|橘子来自哪里？|果园。
篮子里有茄子、辣椒和红薯。大人切好葱和蒜，准备做菜。|谁准备做菜？|大人。
早餐有鸡蛋、肉包和牛乳。桌上还有大人的茶和一碗温汤。|早餐有哪些食物？|如鸡蛋、肉包、牛乳、汤，答出其中两种即可。
面店有饼、糕、饺子和米粉。我们挑好正餐，糖果留着偶尔少量吃。|面店里可以选到哪些食物？|饼、糕、饺子、米粉，答出一种即可。
农民在田里种谷子和小麦。粮食经过许多人的劳动，来到饭桌上。|粮食是谁在田里种出来的？|农民。
饿了吃饭，渴了喝水。吃饱了就停，盛饭先少量，减少剩饭和浪费。|怎样减少剩饭？|先少量盛，不够再添。
我扫地，爸爸拖地，妈妈擦桌子。大家一起整理，屋里整齐了。|屋里为什么整齐了？|大家一起做家务、整理。
书放书架，衣服放柜子。晒干的衣服，有的挂起来，有的叠好。|衣服干了可以怎么收？|挂起来或叠好放进柜子。
厚被子和薄被子摸起来都软。硬盒子放在旁边，我轻轻关上盖子。|哪两样东西摸起来软？|厚被子和薄被子。
旧书破了一页，我请大人一起修补。坏玩具也先看看能不能修好。|旧书破了怎么办？|请大人一起修补。
昨天我和家人看日历，今天圈出今年的生日，明天再一起准备。|哪一天圈出了生日？|今天。
日历上有日期和星期。周末到了，我们给五岁的妹妹过生日，圈好那一天的号码。|谁要过生日？|五岁的妹妹。
钟表上，秒针走得忙。长短不同的针帮助我们看几点、几分。|钟表能帮助我们知道什么？|时间，如几点、几分。
早晨我玩了一会儿，过了半天就到中午。夜晚来临，一天结束了。|半天后到了什么时候？|中午。
书里写着百、千、万，表示不同的数量。盒里原有两个球，拿走后是零个。|盒里最后有几个球？|零个。
我数一数积木，加上两块就多了，拿走一块就减少了。|怎样会让积木变少？|拿走一块。
每人各拿几块饼干，再数一共多少。桌边放着一双筷子。|“一双筷子”是几根？|两根。
一只鸟站在一块石头上，旁边有一条小路。我把一片叶子画在一张纸上。|叶子画在哪里？|一张纸上。
图里的胖熊和瘦猴一起走过宽路。高树旁有矮树，各有各的样子。|宽路上有谁？|胖熊和瘦猴。
短桥下的水有深有浅。我们留在岸上，低头看大人称石头的重量。|小朋友在哪里看？|岸上。
圆盘旁有正方形纸片，纸上的尖角碰着盘边。我把它们放在平桌上。|纸片是什么形状？|正方形。
我用积木拼出房子，再看图找相同的形状。屋顶和墙的形状不一样。|什么的形状不一样？|屋顶和墙。
两片叶子看着很像，仔细看却不一样。我们找出相同处和差异。|叶子看起来像，就完全一样吗？|不一定，要仔细看。
先找第一张图，再按顺序排到末尾。我从首先发生的事讲起。|讲故事先讲哪一件事？|首先发生的事。
大人用尺量纸的尺寸，再用秤称盒子。我们比较哪个盒子重。|用什么量纸？|尺子。
盒内放满积木，盒外还有两块。里面装不下了，我们另找够大的盒子。|为什么另找盒子？|原来的盒子装满了，放不下。
我们试着把纸放进水里，观察变化，记录测量结果。小实验有了新发现。|做实验时观察什么？|纸放进水里后的变化。
大人拿来大块磁铁做演示，它吸住铁片。我推开盒子，再把盒子拉回来。|磁铁吸住了什么？|铁片。
大人演示冰受热的变化：温度升高，冰慢慢化成水。冷下来，温度会下降。|冰受热后怎样了？|慢慢化成水。
关好水龙头，离开时关灯。节省用水用电，可以减少浪费、珍惜资源。|离开房间时可以做什么？|关灯。
从前有个古老的村子。故事里，一位仙女来到这里，发生了一件有趣的事。|故事发生在哪里？|古老的村子。
森林里有一座小屋，小熊住在里面。屋顶是红的，周围长着花。|谁住在小屋里？|小熊。
朋友来过生日，我很快乐。我喜欢大家一起唱歌，笑着欢迎每个人。|小朋友为什么快乐？|朋友来一起过生日。
积木倒了，我伤心地哭，眼泪掉下来。妈妈懂我的难过，陪我说出心里的疼。|小朋友为什么难过？|积木倒了。
我有点怕第一次表演。朋友陪我尝试，我鼓起勇气，大胆走了一小步。|朋友怎样帮助了小朋友？|陪着尝试。
突然听到响声，我吃惊又紧张，有点着慌。大人陪我停下来，慢慢说出焦急的原因。|紧张时大人怎样帮忙？|陪着停下来，慢慢说清原因。
故事里，小兔迷路了，还丢失了帽子。它不追赶乱跑，留在原处等家人寻找。|小兔怎样等家人？|留在原处，不乱跑。
因为下雨，所以我们在屋里看书，而且一起画了一张雨天的图。|为什么在屋里看书？|因为下雨。
桥被水冲坏了，小动物想过河。大家一起思考，终于有了搭船的好办法。|大家想出了什么办法？|搭船过河。
小熊搬木头，小兔拿绳子，大家团结合作。一起协作，小屋很快整理好了。|小屋为什么很快整理好？|大家分工合作。
朋友送来一件礼物，我双手接过，说：“谢谢！”接受心意后，我把物品放好。|收到礼物后说了什么？|谢谢。
杯子是我碰倒的，我诚实地说出真相。说实话，不编假的故事，也是一种善意。|小朋友有没有隐瞒碰倒杯子的事？|没有，说了实话。
我不小心弄坏朋友的画，承认错误，认真道歉，再想办法改好。朋友愿意原谅我。|道歉后还做了什么？|想办法改好。
拼图遇到困难，我先休息，再努力试试。坚持可以分几次，不用勉强一次做完。|困难时能不能先休息？|能，休息后再试。
你能唱歌，我会讲故事。每个人都有本领，聪明的办法也来自多次尝试。|两个人各有什么本领？|一个唱歌，一个讲故事。
小兔曾经怕水。有一天忽然下雨，发生了新的故事，然后它想起了雨伞。|下雨后小兔想起了什么？|雨伞。
小鸟鸣叫，孩子唱歌，爷爷演奏。远处有人喊：“好听的声音！”|谁在演奏？|爷爷。
故事里，小虫爬过叶子，小兔钻进洞里躲雨，松果滚到藏着小鼠的树旁。|小兔为什么钻进洞？|躲雨。
新来的小鸭让大家好奇。读完《丑小鸭》，我们说：不能只看外表判断美和丑。|能不能只看外表判断别人？|不能。
朋友要离开，我有点舍不得。我们先问能不能拥抱，再说再见，欢迎下次来玩。|拥抱前先做什么？|问对方愿不愿意。
我想要种一棵树，这是我的愿望。我愿意照顾它，盼着梦想慢慢实现。|小朋友愿意为愿望做什么？|照顾小树。
大家都来了，还有小猫。能一起玩就很好，这是我最喜欢的时光。|小朋友最喜欢什么时光？|大家一起玩。
我已经把书放好，并轻轻地关上门。妈妈说：“你做得很认真。”|关门时动作怎样？|轻轻地。
“你要来吗？”“去哪里呢？”“来花园吧！”“好呀！”我们笑着出发。|大家准备去哪里？|花园。
虽然想出去玩，但是外面下雨了。我却不着急，又找来一本好书。|下雨不能出去，小朋友做了什么？|找来一本书。
如果下雨，就在屋里画画，或者读书。即使没去公园，也能过得开心。|下雨时可以选什么活动？|画画或者读书。
我决定选蓝纸，你选择红纸。我们说出自己的意思，再商量怎么拼在一起。|两个人选择一样吗？|不一样，一个蓝纸，一个红纸。
我感觉有点冷，觉得该加衣。看看天气，再判断应该穿哪一件。|小朋友为什么想加衣？|感觉冷。
我耐心听朋友讲完，专注地看他指的图，仔细想一想，再回答。|回答前先做了什么？|听完、看图、想一想。
有人性格安静，有人爱说话。各有特点和兴趣，我们从不同特征认识朋友。|朋友的兴趣一定相同吗？|不一定，可以不同。
活动前我很兴奋，结束后慢慢安静。高兴和难过都是情绪，都可以说出来。|难过时可不可以说出来？|可以。
争着玩球，两个人吵起来。老师劝大家轮流，帮助解决问题，再彼此体谅。|怎样解决抢球的问题？|轮流玩。
我需要帮助，就向身边可信任的大人请求。大人帮我联络家人，我说清发生了什么。|需要帮助时向谁请求？|身边可信任的大人。
别人想摸我的肩、碰我的身体或抱我，要先问。我不愿意，就可以说“不”。|不想被抱时可以怎样说？|我不愿意，或不。
密码和家庭信息属于隐私，要保护好。让我不舒服的“秘密”，可以告诉可信任的大人。|让人不舒服的秘密要一直藏着吗？|不要，可以告诉可信任的大人。
朋友拒绝拥抱，我尊重他的决定。没有允许就停下，包容彼此的不同选择。|朋友不愿意拥抱时怎么做？|停下，尊重他。
我们约定轮流使用玩具，遵守共同的纪律。答应的承诺认真做，这是我的责任。|大家约定了什么？|轮流使用玩具。
公共阅览室里有许多人。牌子写着“请勿喧哗”，我们轻声说话。|为什么轻声说话？|公共阅览室需要安静，不打扰别人。
我开始整理书架，中间休息了一会儿，最后完成。把事情做完，就是一次小成功。|中途休息后发生了什么？|继续整理，最后完成。
读不顺时，我慢慢再读，反复练习。今天先学一点，明天还可以继续。|今天没读顺，可以怎么办？|慢慢练，明天继续。
一本画册有封面和书页。装订把书页连起来，目录帮助我们找内容。|什么帮助我们找内容？|目录。
我看书的题目和作者，把书签夹在读到的地方。封底还有版本、印刷的信息。|书签有什么用？|记住读到哪里。
文字连成句子，几句话可以成为一段。我们一起读完这一篇故事的第一章。|文字可以连成什么？|句子。
逗号让话停一停，顿号分开并列的词；冒号引出后面的话，感叹号带着语气，括号补充说明。|看到感叹号时，可以怎样读？|读出相应语气，由家长示范。
小兔继续往前走，我们跟随它的脚步。讲完经过，再续上后来的故事。|故事跟着谁往前走？|小兔。
故事的角色来到新场景：背后是山，到处有花，环境真美。|角色背后是什么？|山。
小熊沿河奔跑，遇见赶来的小兔。它们停下，商量接着做什么。|小熊遇见了谁？|赶来的小兔。
泥地里留下足迹。我们查看图里的踪迹，把它当作探索故事的线索。|什么可以成为线索？|泥地里的足迹。
我以为朋友拿走了书，后来弄清楚，书在我自己的包里。误会解开了，他没有骗人。|书原来在哪里？|自己的包里。
小兔带着伞出门。我猜将来可能下雨，但后面还未讲到，要接着读才能知道。|“可能下雨”已经确定了吗？|没有，是猜测。
你怎么知道小熊来过？我指着图里的脚印，说出依据。认识线索，才更明白故事。|判断小熊来过的依据是什么？|图里的脚印。
老师传来消息：明天有故事会。家长看看通知，确认时间，再把信息告诉我。|家长确认了什么？|故事会的时间。
我们计划一次看花活动，画好路线。过程中谁拿水、谁带纸，也写进计划。|计划里安排了什么？|路线和分工，如拿水、带纸。
大人先示范折纸，我看清操作步骤，再按照说明一步步做。|动手前先做什么？|看示范、看清步骤。
出门前写一份清单，把各类物品列出来。准备好一项，就在旁边画一个记号。|清单上的记号表示什么？|这一项已准备好。
看“妈”和“姐”，都有“女”这个部分。我们观察偏旁、结构和组合，不把每个符号都当成独立的字。|“妈”和“姐”有什么相同的部分？|女。
“喝”配“水”，“看”配“书”。把词语连起来，搭出有意思的话。|“看”可以和句子中的哪个字搭配？|书。
“开心”可以换成“高兴”。我们比较另一种说法，有时替换词语能表达得更清楚。|可以用什么代替“开心”？|高兴。
翠绿的叶子衬着鲜艳的花。河边景色秀美，我们用自己的话说出看见的美丽。|花旁边的叶子是什么颜色？|翠绿。
读完故事，我分享感受、讲述理由。评价人物时，说清做了什么，再夸赞具体的行动。|夸赞时要说清什么？|具体行动，做了什么值得夸赞。
准备上一年级，我和家长检查物品。必须带的先备好，有疑问再问老师。|不确定要带什么时怎么办？|问老师。
文具盒里有铅笔和橡皮。胶水盖紧收好，使用时先看大人的示范。|胶水收好前要做什么？|盖紧。
教室墙壁上有画，讲台旁有黑板和屏幕。墨水由大人放在合适的位置。|教室墙上有什么？|画。
借来的书要珍惜。轻轻翻页，避免损坏；如果不小心撕毁一页，要说清楚并商量修补。|借来的书损坏了怎么办？|说清楚，商量修补。
我想提问，就举手发言。有顾虑也可以说出来，再一起考虑办法。|有问题时可以怎么做？|举手提问、说出来。
轮到值日，我认真完成小任务。劳动出了汗，也懂得珍惜大家的勤劳。|小朋友值日时怎样做？|认真完成任务。
我负责管理自己的水杯，独立能做的自己做。承担任务遇到困难，也可以求助。|遇到困难一定要独自解决吗？|不必，可以求助。
规律休息、适当锻炼帮助我们保持健康。运动时慢慢呼吸，累了就休息。|运动累了怎么办？|休息。
运动前跟着大人轻轻伸展腿和手臂。运动后休息一会儿，再喝些水。|运动后先做什么？|休息一会儿。
我记录小苗的变化，再回忆昨天的样子。照片留下证据，帮助我们确认新的发现。|照片有什么用？|留下证据，帮助比较和确认变化。
班里介绍自己，我说姓李、叫什么名字、几岁。年龄说清了，也认真听别人介绍。|介绍里说了哪几件事？|姓、名字和年龄。
节日里大家一起庆祝，送出祝福和祝贺。能和家人相伴，我觉得幸福。|小朋友为什么觉得幸福？|能和家人相伴。
地图上，我们找到祖国的首都北京。看国旗，听家长讲中华大地上人民生活的故事。|在地图上找到了哪里？|北京。
端午节，我们听传统故事，看龙舟，和家人吃粽子。不同地方也有不同的过节方式。|句子里有哪些端午活动？|听故事、看龙舟、吃粽子。
工人和工匠用双手制造产品、建设房屋。我们珍惜每个人的劳动成果。|房屋和产品从哪里来？|许多人的劳动，如工人和工匠建设、制造。
科学和技术走进生活。大人用键盘查找资料，也教我在陪伴下使用网络。|小朋友怎样使用网络？|在大人陪伴下使用。
垃圾放进合适的桶，不让它污染河水。减少浪费，也是在保护环境。|怎样保护河水？|不乱扔垃圾，避免污染。
世界上有不同民族的人。地图上的海洋和大洲连在一起，我们愿意了解不同的生活。|面对不同的生活，可以抱着什么态度？|愿意了解、尊重差异。
我尝试独立阅读一小段。遇到不懂的汉字，先请大人帮助，也看看字典怎么用。|遇到不懂的字怎么办？|请大人帮助，学习查字典。
我展示自己的成长小书，保留喜欢的作品作纪念。收获不只是一枚奖章，还有读懂故事的快乐。|成长小书可以保留什么？|喜欢的作品。
